CPC,ASS,count,mean,std,min,max
08001,240025,7.0,6.385714285714287,2.55370878751446,1.9,9.4
08003,240025,3.0,6.3,1.044030650891055,5.1,7.0
08004,240025,4.0,7.75,1.0408329997330668,6.6,8.9
08005,240025,14.0,6.035714285714286,1.614647922021365,2.8,9.7
08006,240025,51.0,5.292156862745098,2.044000306972081,0.0,9.0
08007,240025,14.0,6.171428571428571,1.5597971127576282,4.0,8.8
08008,240025,11.0,5.1454545454545455,2.13932869674748,1.3,8.5
08009,240025,53.0,5.862264150943396,1.7537022832035114,1.3,8.7
08010,240025,49.0,5.924489795918365,1.8630766011543127,0.2,9.1
08012,240025,11.0,6.0545454545454565,1.811277801091614,3.0,9.1
08013,240025,5.0,7.540000000000001,1.1148990985734988,6.2,9.0
08014,240025,35.0,5.765714285714287,1.527963438341233,1.7,9.6
08015,240025,12.0,5.566666666666666,1.3089435944047907,4.1,9.1
08016,240025,9.0,4.9,2.541653005427767,0.0,7.7
08017,240025,222.0,5.491891891891892,1.9594594847617155,0.1,9.7
08018,240025,1.0,5.8,,5.8,5.8
08019,240025,3.0,2.333333333333333,2.9263173671584792,0.4,5.7
08020,240025,1.0,6.5,,6.5,6.5
08021,240025,80.0,5.647499999999999,1.8906816800270407,0.2,9.6
08022,240025,157.0,5.324203821656052,2.0919994507122066,0.0,9.5
08023,240025,22.0,6.14090909090909,1.3322587661236909,5.0,9.6
08024,240025,19.0,5.73157894736842,1.975981509016875,1.2,8.1
08025,240025,28.0,5.367857142857141,2.2810091287635488,0.0,9.0
08026,240025,3.0,5.933333333333334,1.77857620959388,4.0,7.5
08027,240025,33.0,5.445454545454545,1.8226167502198087,1.4,9.1
08028,240025,16.0,5.487500000000002,1.5032742043064975,1.1,8.0
08029,240025,53.0,5.49433962264151,1.959239952157628,0.3,9.5
08030,240025,33.0,5.833333333333334,1.4638704405331322,3.0,8.9
08031,240025,18.0,6.555555555555557,2.155218624701781,1.0,9.9
08032,240025,15.0,6.086666666666668,1.4788348051599207,2.5,8.7
08034,240025,333.0,5.350450450450448,1.978036351670874,0.0,9.7
08035,240025,34.0,5.700000000000001,2.0871903689801843,0.1,9.0
08036,240025,31.0,5.564516129032259,1.9112907309105318,0.0,8.6
08037,240025,3.0,6.466666666666666,2.3288051299611423,3.8,8.1
08038,240025,1.0,5.0,,5.0,5.0
08041,240025,7.0,6.071428571428571,1.590297965491882,3.5,7.9
08100,240025,21.0,5.404761904761903,2.11340393452747,0.2,8.6
08110,240025,2.0,7.55,0.3535533905932738,7.3,7.8
08130,240025,3.0,4.1000000000000005,1.2767145334803705,3.0,5.5
08140,240025,7.0,5.342857142857143,1.7943031542980157,2.6,7.8
08160,240025,1.0,5.7,,5.7,5.7
08170,240025,3.0,5.666666666666668,0.9073771725877467,5.0,6.7
