CPC,ASS,count,mean,std,min,max
08001,240023,7.0,5.542857142857144,3.1558713233469784,1.3,9.7
08003,240023,3.0,4.4,0.8717797887081348,3.4,5.0
08004,240023,4.0,6.025,0.7762087348130012,5.1,7.0
08005,240023,14.0,4.821428571428571,1.4967547311683118,1.6,6.8
08006,240023,51.0,5.401960784313724,1.7086240307426828,0.0,8.6
08007,240023,14.0,5.378571428571428,1.6544478844006545,1.0,8.5
08008,240023,11.0,5.118181818181818,2.1207631559503204,1.0,7.9
08009,240023,53.0,4.59811320754717,1.5846002366573455,0.0,8.4
08010,240023,49.0,4.944897959183674,2.084372529932549,1.0,9.0
08012,240023,11.0,5.4727272727272736,1.6781483302085718,2.8,8.5
08013,240023,5.0,4.540000000000001,0.8876936408468861,3.2,5.4
08014,240023,35.0,4.985714285714286,1.839460096163587,1.0,8.5
08015,240023,12.0,4.516666666666667,1.9300651582657813,1.6,8.3
08016,240023,9.0,5.522222222222222,1.4813657362192645,3.1,8.1
08017,240023,221.0,5.293665158371037,1.6495331725586628,0.5,9.1
08018,240023,1.0,5.0,,5.0,5.0
08019,240023,3.0,5.533333333333334,1.4640127503998497,4.2,7.1
08020,240023,1.0,6.6,,6.6,6.6
08021,240023,80.0,5.312500000000002,1.8418740456393865,0.0,8.5
08022,240023,158.0,5.09240506329114,1.783489183951941,0.3,8.8
08023,240023,22.0,5.881818181818181,2.0195794856111258,0.8,8.3
08024,240023,19.0,4.842105263157895,1.4225625506550903,1.1,7.3
08025,240023,28.0,5.1571428571428575,1.8520116333185088,1.0,9.2
08026,240023,3.0,4.133333333333334,2.830783166074953,2.4,7.4
08027,240023,33.0,4.654545454545454,1.6961520622225523,0.8,9.0
08028,240023,16.0,4.30625,2.194984813918614,0.8,7.6
08029,240023,53.0,5.3396226415094326,1.85517359986373,0.5,9.8
08030,240023,33.0,4.372727272727273,1.5085739804681289,1.4,7.1
08031,240023,18.0,5.43888888888889,1.910694018933154,1.7,8.4
08032,240023,15.0,4.806666666666667,1.351965060128968,1.3,7.1
08034,240023,333.0,5.301801801801801,1.7945692161191582,0.0,9.7
08035,240023,34.0,4.76764705882353,2.023755972268919,1.0,9.3
08036,240023,31.0,5.267741935483871,2.2505387646478776,0.8,9.5
08037,240023,3.0,6.1000000000000005,0.7549834435270749,5.4,6.9
08038,240023,1.0,5.6,,5.6,5.6
08041,240023,7.0,5.471428571428571,0.9141741003300664,4.6,7.4
08100,240023,21.0,4.8238095238095235,1.571593064983669,2.3,8.4
08110,240023,2.0,3.8,4.808326112068524,0.4,7.2
08130,240023,3.0,3.5,1.8734993995195195,1.4,5.0
08140,240023,7.0,4.885714285714286,1.7845901223423557,2.4,7.8
08160,240023,1.0,5.0,,5.0,5.0
08170,240023,3.0,4.6000000000000005,2.6229754097208,1.8,7.0
08172,240023,7.0,5.814285714285715,1.8096303226797192,4.0,9.0
08173,240023,62.0,5.274193548387096,1.9469131080891864,0.0,8.5
08174,240023,13.0,5.607692307692308,1.410946218241231,3.8,9.0
08180,240023,4.0,5.825,0.8995369179009092,5.0,6.7
08181,240023,1.0,3.1,,3.1,3.1
08186,240023,2.0,5.2,1.1313708498984758,4.4,6.0
08187,240023,1.0,5.1,,5.1,5.1
08191,240023,1.0,6.4,,6.4,6.4
08193,240023,24.0,4.825,1.7644435013808792,1.7,7.5
08195,240023,7.0,4.142857142857143,2.3782746847642464,0.2,7.5
08197,240023,3.0,4.266666666666667,1.6772994167212163,3.2,6.2
08201,240023,5.0,5.959999999999999,1.4223220451079284,4.0,7.5
08202,240023,5.0,3.0000000000000004,1.5313392831113557,1.2,5.4
08204,240023,1.0,5.5,,5.5,5.5
08205,240023,2.0,7.0,2.8284271247461903,5.0,9.0
08206,240023,1.0,5.8,,5.8,5.8
08207,240023,1.0,2.8,,2.8,2.8
08221,240023,1.0,8.6,,8.6,8.6
08230,240023,1.0,6.6,,6.6,6.6
08240,240023,9.0,5.833333333333332,1.0259142264341596,3.8,7.0
08241,240023,2.0,5.7,0.4242640687119283,5.4,6.0
08242,240023,2.0,5.5,0.7071067811865476,5.0,6.0
08243,240023,2.0,5.5,0.7071067811865476,5.0,6.0
08250,240023,1.0,2.0,,2.0,2.0
08260,240023,1.0,3.1,,3.1,3.1
08261,240023,2.0,1.7999999999999998,0.848528137423857,1.2,2.4
08290,240023,7.0,5.671428571428571,0.9741907508530449,4.5,7.0
08291,240023,1.0,5.5,,5.5,5.5
08292,240023,2.0,4.25,1.0606601717798212,3.5,5.0
08301,240023,15.0,5.633333333333334,1.1330531866640348,3.5,7.7
08302,240023,31.0,5.0935483870967735,2.1931614143166285,1.0,9.7
08303,240023,7.0,4.585714285714286,0.6866065623255952,3.5,5.3
08304,240023,7.0,5.799999999999999,1.866369023889256,2.3,7.8
08310,240023,2.0,5.4,0.5656854249492379,5.0,5.8
08320,240023,11.0,5.463636363636364,1.523989978492462,2.9,7.8
08328,240023,7.0,4.742857142857143,2.2179999570612727,1.2,7.2
08330,240023,8.0,5.300000000000002,2.3676389686171087,1.1,9.1
08338,240023,10.0,3.86,1.9984438390352075,0.7,7.2
08339,240023,2.0,5.4,4.1012193308819755,2.5,8.3
08340,240023,14.0,5.15,1.7513730876965343,2.3,8.3
08350,240023,9.0,4.988888888888889,1.3959266137985589,1.5,6.5
08360,240023,1.0,8.4,,8.4,8.4
08370,240023,17.0,5.170588235294117,2.523084596749173,0.1,9.0
08380,240023,6.0,4.733333333333333,2.0314198646923454,2.2,8.1
08390,240023,10.0,4.6,1.339153961773378,2.0,6.2
08392,240023,5.0,3.9,1.5099668870541498,2.1,5.0
08397,240023,3.0,1.7,0.26457513110645897,1.5,2.0
08400,240023,8.0,4.5375,1.4391837964624254,2.4,7.0
08401,240023,15.0,4.799999999999999,1.5348336345396802,2.8,7.0
08402,240023,1.0,6.2,,6.2,6.2
08430,240023,1.0,7.0,,7.0,7.0
08440,240023,13.0,5.069230769230769,1.4126715915742858,1.5,7.3
08460,240023,2.0,5.75,0.636396103067893,5.3,6.2
08470,240023,3.0,6.433333333333334,1.2423096769056148,5.0,7.2
08480,240023,1.0,6.6,,6.6,6.6
08500,240023,51.0,5.23529411764706,1.6729403491352306,1.4,8.5
08513,240023,1.0,5.2,,5.2,5.2
08520,240023,10.0,6.2,1.390443574307614,4.0,9.0
08530,240023,14.0,4.978571428571429,1.9264070068508252,2.0,8.6
08540,240023,9.0,4.811111111111111,1.9101337940341012,1.3,7.7
08551,240023,2.0,3.6,3.3941125496954285,1.2,6.0
08552,240023,1.0,2.9,,2.9,2.9
08560,240023,6.0,4.25,1.2421755109484327,2.6,5.6
08570,240023,5.0,5.04,2.398541223327212,0.9,6.6
08600,240023,3.0,4.733333333333333,1.4189197769195174,3.2,6.0
08620,240023,3.0,3.333333333333333,1.8147543451754933,1.4,5.0
08630,240023,1.0,3.1,,3.1,3.1
08635,240023,3.0,5.066666666666666,1.5044378795195676,3.5,6.5
08640,240023,9.0,4.2222222222222205,1.77184774866365,2.3,7.4
08680,240023,1.0,5.0,,5.0,5.0
08695,240023,2.0,3.35,2.3334523779156067,1.7,5.0
08700,240023,17.0,5.658823529411767,1.5600716423971577,2.5,8.1
08719,240023,10.0,4.5,1.9333333333333331,1.1,6.7
08720,240023,12.0,4.066666666666666,1.6707827960315942,1.3,5.9
08730,240023,1.0,5.0,,5.0,5.0
08740,240023,4.0,5.525,2.1929812280698315,2.8,8.0
08750,240023,7.0,4.885714285714286,1.3789229751616192,3.3,7.0
08755,240023,2.0,5.2,0.2828427124746193,5.0,5.4
08757,240023,7.0,5.200000000000001,1.863688099799248,2.2,7.7
08759,240023,2.0,2.1,1.2727922061357857,1.2,3.0
08760,240023,3.0,3.633333333333333,2.6274195198584733,1.6,6.6
08770,240023,25.0,4.607999999999999,1.2964438540355947,2.1,7.1
08780,240023,1.0,3.2,,3.2,3.2
08788,240023,2.0,5.0,0.0,5.0,5.0
08790,240023,1.0,1.4,,1.4,1.4
08800,240023,17.0,5.2176470588235295,1.6074962263243604,0.8,7.4
08810,240023,4.0,4.4,1.3341664064126333,3.3,6.0
08820,240023,5.0,4.0200000000000005,1.9613770672667712,1.7,6.4
08830,240023,13.0,4.9846153846153864,0.8867977539497136,3.2,6.9
08840,240023,9.0,4.466666666666667,1.161895003862225,2.8,6.4
08850,240023,28.0,4.814285714285714,2.091023900480564,0.2,8.7
08860,240023,7.0,4.9857142857142875,2.2430846108492144,1.0,8.0
08870,240023,7.0,3.971428571428572,1.7783084525416146,1.8,6.3
08901,240023,7.0,5.3,1.2529964086141667,3.5,6.8
08902,240023,22.0,4.736363636363637,1.948759178980907,1.5,9.0
08904,240023,3.0,7.5,1.3228756555322954,6.5,9.0
08905,240023,1.0,5.0,,5.0,5.0
08906,240023,14.0,5.0,2.099084049330528,1.0,9.2
08907,240023,20.0,4.955,1.976300371374437,1.4,9.0
08911,240023,7.0,4.514285714285714,2.300310538042325,1.8,7.3
08912,240023,26.0,4.573076923076923,1.905687842708284,0.9,7.7
08915,240023,1.0,7.3,,7.3,7.3
08916,240023,6.0,5.3500000000000005,2.00174923504419,1.5,6.9
08917,240023,4.0,4.75,0.776745346515403,3.9,5.7
08918,240023,1.0,5.3,,5.3,5.3
08924,240023,2.0,5.050000000000002,1.9091883092036783,3.7,6.4
08930,240023,5.0,5.9,1.1291589790636216,5.0,7.7
08940,240023,8.0,4.300000000000002,1.4192553379451192,1.9,6.1
08950,240023,28.0,4.753571428571429,1.8990216082980909,0.0,8.2
08960,240023,12.0,4.624999999999999,2.2369317460225817,1.5,8.6
08970,240023,6.0,5.916666666666668,1.5038838607640772,4.3,8.1
08980,240023,23.0,4.72608695652174,1.7257982056545071,1.1,7.8
17002,240023,6.0,5.816666666666667,1.1531117320826576,4.0,7.6
17003,240023,21.0,4.885714285714284,1.891107007624295,1.6,8.1
