CPC,ASS,count,mean,std,min,max
08001,240024,7.0,6.9714285714285715,2.4830856380145825,2.2,10.0
08003,240024,3.0,5.433333333333334,0.7505553499465134,5.0,6.3
08004,240024,4.0,7.9,1.4628738838327793,6.0,9.1
08005,240024,14.0,6.778571428571429,1.2644114297712843,5.0,9.0
08006,240024,51.0,5.945098039215687,1.4350350135784418,1.7,10.0
08007,240024,14.0,5.971428571428571,1.3029130506608708,3.4,8.0
08008,240024,11.0,5.054545454545455,1.98411876477374,1.1,8.7
08009,240024,53.0,5.683018867924527,1.5253922382149403,1.1,9.0
08010,240024,49.0,6.371428571428572,1.5209646062066446,2.3,10.0
08012,240024,11.0,4.818181818181818,2.0262369959203594,1.6,7.7
08013,240024,5.0,5.6,2.091650066335189,2.8,8.1
08014,240024,35.0,5.811428571428572,1.8405196562498365,0.4,8.5
08015,240024,12.0,5.6916666666666655,1.339238815917686,2.4,7.8
08016,240024,9.0,5.844444444444445,2.1131203888509944,1.0,8.1
08017,240024,222.0,5.8504504504504515,1.6074697733377037,0.5,10.0
08018,240024,1.0,7.2,,7.2,7.2
08019,240024,3.0,5.166666666666667,0.493288286231625,4.6,5.5
08020,240024,1.0,5.0,,5.0,5.0
08021,240024,80.0,5.436250000000001,1.6553131754628059,0.8,9.6
08022,240024,158.0,5.660759493670884,1.5717990602291758,1.2,10.0
08023,240024,22.0,5.513636363636364,1.8003426802233418,1.6,8.9
08024,240024,19.0,5.636842105263157,2.496933792188551,1.1,10.0
08025,240024,28.0,5.475,2.3999421289319094,0.0,10.0
08026,240024,3.0,5.533333333333334,0.7571877794400367,5.0,6.4
08027,240024,33.0,5.412121212121212,1.621295310808147,0.1,8.3
08028,240024,16.0,5.81875,2.2780748451269117,0.8,8.5
08029,240024,53.0,6.160377358490566,1.5168717331607569,3.1,10.0
08030,240024,33.0,5.593939393939395,1.5309187180291843,2.7,8.6
08031,240024,18.0,6.43888888888889,1.8324329339750312,2.8,8.8
08032,240024,15.0,5.973333333333334,1.2273471197590975,3.8,7.9
08034,240024,333.0,5.763063063063061,1.6886364318654028,0.0,10.0
08035,240024,34.0,5.43529411764706,2.2133044475489823,0.0,10.0
08036,240024,31.0,6.103225806451612,1.9533703985620583,1.0,10.0
08037,240024,3.0,6.6000000000000005,1.417744687875783,5.0,7.7
08038,240024,1.0,7.9,,7.9,7.9
08041,240024,7.0,5.7857142857142865,2.2923267447643463,2.4,9.0
08100,240024,21.0,5.071428571428571,1.8544926144751448,1.1,10.0
08110,240024,2.0,7.65,1.9091883092036783,6.3,9.0
08130,240024,3.0,5.6000000000000005,0.721110255092798,5.0,6.4
08140,240024,7.0,5.842857142857143,1.6440368435218058,3.1,7.6
08160,240024,1.0,5.6,,5.6,5.6
08170,240024,3.0,5.966666666666666,0.5686240703077325,5.5,6.6
08172,240024,7.0,6.485714285714287,1.8569047466402897,3.4,9.0
08173,240024,62.0,5.619354838709677,1.640455625401257,0.2,8.9
08174,240024,13.0,6.523076923076923,0.8555250299804659,5.2,8.0
08180,240024,4.0,6.825000000000001,1.6780444968275825,4.6,8.6
08181,240024,1.0,6.8,,6.8,6.8
08186,240024,2.0,4.0,1.4142135623730951,3.0,5.0
08187,240024,1.0,5.0,,5.0,5.0
08191,240024,1.0,5.4,,5.4,5.4
08193,240024,24.0,6.075,1.3430173685302484,3.1,8.6
08195,240024,7.0,4.428571428571429,1.7375406812640732,1.4,6.8
08197,240024,3.0,5.900000000000001,1.2288205727444506,5.0,7.3
08201,240024,5.0,5.64,2.2063544592834576,2.2,7.8
