CPC,ASS,count,mean,std,min,max
08001,240012,7.0,5.814285714285715,1.8352371067780964,2.5,8.6
08003,240012,3.0,6.2,1.0583005244258363,5.4,7.4
08004,240012,4.0,5.85,1.3916417163432069,4.5,7.6
08005,240012,14.0,6.1,1.8855727552615449,1.6,10.0
08006,240012,51.0,5.507843137254902,1.4658571741141635,1.8,10.0
08007,240012,14.0,5.9071428571428575,0.9177432904972648,4.4,7.2
08008,240012,11.0,6.163636363636362,1.2347248497318968,4.4,8.8
08009,240012,53.0,5.483018867924527,1.5346931350820348,2.4,9.8
08010,240012,49.0,5.497959183673469,1.929215060147344,1.3,10.0
08012,240012,11.0,5.709090909090909,1.7461125653602894,3.7,9.1
08013,240012,5.0,6.2799999999999985,1.056882207249228,5.1,7.7
08014,240012,35.0,5.439999999999999,1.5673507059028355,2.6,8.4
08015,240012,12.0,4.999999999999999,1.9977259799354592,1.8,7.7
08016,240012,9.0,4.933333333333334,1.7449928366615148,1.3,7.2
08017,240012,222.0,5.6328828828828845,1.6656632868970056,0.9,9.8
08018,240012,1.0,5.0,,5.0,5.0
08019,240012,3.0,5.9,1.0816653826391966,5.0,7.1
08020,240012,1.0,5.9,,5.9,5.9
08021,240012,80.0,5.881249999999998,1.4959941235584844,2.9,9.0
08022,240012,158.0,5.901898734177218,1.5619876084793285,1.0,10.0
08023,240012,22.0,6.040909090909091,2.029932931312684,2.2,10.0
08024,240012,19.0,5.778947368421052,1.876633791117732,0.0,9.0
08025,240012,28.0,5.271428571428571,1.9177257253507232,0.7,8.9
08026,240012,3.0,4.766666666666667,0.6806859285554046,4.0,5.3
08027,240012,33.0,5.587878787878788,1.838776355310369,2.2,9.0
08028,240012,16.0,5.093750000000001,1.7849253018917441,1.7,8.2
08029,240012,53.0,5.658490566037736,1.852382453684168,1.8,10.0
08030,240012,33.0,5.000000000000002,1.5107944929738129,1.4,7.8
08031,240012,18.0,5.9222222222222225,1.3960261060914616,3.4,8.4
08032,240012,15.0,5.173333333333333,1.3193432709748691,2.3,7.8
08034,240012,333.0,5.976576576576576,1.6046593465173076,1.1,10.0
08035,240012,34.0,5.5294117647058805,2.002805518896946,1.7,10.0
08036,240012,31.0,6.158064516129032,1.4174564528404128,2.8,9.0
08037,240012,3.0,7.133333333333333,1.761628034896508,5.1,8.2
08038,240012,1.0,6.0,,6.0,6.0
08041,240012,7.0,4.342857142857143,1.6611814499096147,2.4,7.4
08100,240012,21.0,5.347619047619048,1.4232424416166936,1.9,7.4
08110,240012,2.0,5.550000000000002,1.6263455967290592,4.4,6.7
08130,240012,3.0,4.166666666666667,1.1239810200058244,3.2,5.4
08140,240012,7.0,5.6571428571428575,1.2259107401671392,3.5,7.0
08160,240012,1.0,7.7,,7.7,7.7
08170,240012,3.0,5.1000000000000005,2.0663978319771825,2.9,7.0
08172,240012,7.0,4.757142857142857,1.6781509098381102,3.1,7.2
08173,240012,62.0,5.800000000000002,1.4382366252338088,1.9,9.0
08174,240012,13.0,6.16153846153846,1.4038865466616013,5.0,10.0
08180,240012,4.0,7.075,0.29860788111948205,6.7,7.4
08181,240012,1.0,5.0,,5.0,5.0
08186,240012,2.0,3.95,1.6263455967290592,2.8,5.1
08187,240012,1.0,4.5,,4.5,4.5
08191,240012,1.0,1.8,,1.8,1.8
08193,240012,24.0,5.550000000000002,1.55059595836148,2.5,9.5
08195,240012,7.0,4.614285714285715,1.5225292240529371,1.8,5.9
