CPC,ASS,count,mean,std,min,max
08001,240021,7.0,6.071428571428571,1.5744991645115662,5.0,9.4
08003,240021,3.0,4.866666666666666,1.7097758137642882,2.9,6.0
08004,240021,4.0,7.25,0.5686240703077329,6.6,7.9
08005,240021,14.0,5.635714285714285,1.5335264251728098,3.4,9.4
08006,240021,51.0,5.749019607843138,1.5924035354167745,1.2,9.6
08007,240021,14.0,6.171428571428571,1.3980362994234072,3.0,8.4
08008,240021,11.0,5.3181818181818175,1.7232632891222293,1.9,7.8
08009,240021,53.0,5.3943396226415095,1.3566666012892412,1.5,7.7
08010,240021,49.0,5.699999999999998,1.6129682782580281,1.3,9.1
08012,240021,11.0,6.1818181818181825,0.8109478180723859,5.1,8.1
08013,240021,5.0,5.58,1.497330958739583,3.2,7.0
08014,240021,35.0,5.3599999999999985,1.71759065177324,1.0,8.0
08015,240021,12.0,5.466666666666666,1.5155756981984423,3.1,8.2
08016,240021,9.0,4.977777777777779,0.9997221836312548,3.3,6.3
08017,240021,222.0,5.430180180180179,1.6873066073768872,0.0,9.0
08018,240021,1.0,5.7,,5.7,5.7
08019,240021,3.0,5.4,2.9206163733020465,2.3,8.1
08020,240021,1.0,6.5,,6.5,6.5
08021,240021,80.0,5.70875,1.5345137975713057,0.0,9.7
08022,240021,158.0,5.701898734177215,1.5082985529104518,0.0,9.6
08023,240021,22.0,5.6954545454545435,1.4558510104066844,2.5,8.5
08024,240021,19.0,5.378947368421053,0.938425955978308,3.9,7.2
08025,240021,28.0,5.010714285714287,1.8006869647369432,0.1,8.5
08026,240021,3.0,5.7,1.5099668870541498,4.1,7.1
08027,240021,33.0,5.3939393939393945,1.7959919602303684,0.0,9.4
08028,240021,16.0,5.025,1.9665536690701664,0.0,8.2
08029,240021,53.0,5.575471698113207,1.4799825441248855,1.2,9.3
08030,240021,33.0,5.503030303030301,1.471284483131332,0.8,8.2
08031,240021,18.0,6.027777777777778,1.7632875563945736,2.1,9.0
08032,240021,15.0,5.5,1.1868325191750642,3.9,7.5
08034,240021,333.0,5.476876876876874,1.7576270558127969,0.0,9.4
08035,240021,34.0,5.3852941176470575,1.6549525953004283,0.0,8.5
08036,240021,31.0,5.3161290322580665,1.876894025456871,0.0,7.6
08037,240021,3.0,6.2666666666666675,1.205542754668342,5.0,7.4
08038,240021,1.0,6.4,,6.4,6.4
08041,240021,7.0,5.228571428571429,1.3792682670100669,3.4,7.2
08100,240021,21.0,6.000000000000003,1.0881176406988355,4.1,8.0
