CPC,ASS,count,mean,std,min,max
08001,240015,7.0,7.885714285714287,1.916966850199008,5.3,10.0
08003,240015,3.0,5.566666666666666,4.9802945026708345,0.0,9.6
08004,240015,4.0,8.575,1.8300728582946275,5.9,10.0
08005,240015,14.0,6.242857142857143,2.3329460693803794,1.0,10.0
08006,240015,51.0,6.21372549019608,2.4856403285948785,0.3,10.0
08007,240015,14.0,5.678571428571428,2.7602058372042233,0.6,10.0
08008,240015,11.0,5.227272727272728,3.299724506406833,0.7,10.0
08009,240015,53.0,6.807547169811323,2.286065570144796,0.0,10.0
08010,240015,49.0,6.097959183673469,2.4908574323512216,0.1,9.5
08012,240015,11.0,5.6,2.545584412271571,1.1,8.8
08013,240015,5.0,5.8599999999999985,2.7951744131628,0.9,7.5
08014,240015,35.0,6.417142857142857,2.195782818239078,1.4,10.0
08015,240015,12.0,6.925000000000002,1.6487598645373105,3.4,9.7
08016,240015,9.0,5.522222222222222,2.6046966127448403,0.0,8.3
08017,240015,222.0,5.31576576576577,2.5793075115239192,0.0,10.0
08018,240015,1.0,5.2,,5.2,5.2
08019,240015,3.0,7.066666666666666,2.6102362600602524,5.0,10.0
08020,240015,1.0,5.0,,5.0,5.0
08021,240015,80.0,5.768749999999999,2.448951919970891,0.0,10.0
08022,240015,158.0,5.295569620253168,2.600792258928621,0.0,10.0
08023,240015,22.0,6.249999999999999,2.560273422898421,1.5,10.0
08024,240015,19.0,5.442105263157897,3.0874865342888866,0.1,8.7
08025,240015,28.0,5.646428571428572,2.6020621655194005,0.0,9.6
08026,240015,3.0,4.4,2.6286878856189837,1.4,6.3
08027,240015,33.0,5.954545454545456,2.2821441273902527,0.9,9.7
08028,240015,16.0,5.5,3.133262410544852,0.3,10.0
08029,240015,53.0,5.992452830188679,2.695212925554931,0.0,10.0
08030,240015,33.0,5.769696969696969,1.6589689660457883,0.6,8.2
08031,240015,18.0,6.8277777777777775,2.0192618207289503,0.9,10.0
08032,240015,15.0,7.233333333333332,1.7686422018303303,4.0,10.0
08034,240015,333.0,5.545045045045047,2.6502240893683777,0.0,10.0
08035,240015,34.0,5.952941176470588,2.2381317011262882,0.0,8.9
08036,240015,31.0,6.683870967741936,2.2840164585211937,0.8,9.8
08037,240015,3.0,6.2333333333333325,2.973774257292125,2.8,8.0
08038,240015,1.0,6.5,,6.5,6.5
08041,240015,7.0,5.814285714285715,2.6866513056396504,2.8,10.0
08100,240015,21.0,6.557142857142857,2.48828684611952,1.5,10.0
08110,240015,2.0,6.65,3.7476659402887034,4.0,9.3
08130,240015,3.0,3.7000000000000006,2.9715315916207254,0.3,5.8
08140,240015,7.0,5.4,2.287647991569799,2.3,8.4
08160,240015,1.0,8.0,,8.0,8.0
08170,240015,3.0,6.7333333333333325,1.361371857110809,5.2,7.8
08172,240015,7.0,5.371428571428572,3.3698240734071394,1.6,9.5
08173,240015,62.0,5.503225806451613,2.589067035074603,0.0,10.0
08174,240015,13.0,5.107692307692308,2.5312913497730563,0.0,7.9
08180,240015,4.0,6.725,1.5435349040433135,5.6,9.0
08181,240015,1.0,0.4,,0.4,0.4
08186,240015,2.0,5.4,3.535533905932738,2.9,7.9
08187,240015,1.0,8.2,,8.2,8.2
08191,240015,1.0,2.4,,2.4,2.4
08193,240015,24.0,5.2625,2.732225164188722,0.0,10.0
08195,240015,7.0,4.342857142857143,1.9679576069766196,1.5,6.2
08197,240015,3.0,3.2,4.622769732530489,0.0,8.5
08201,240015,5.0,6.880000000000001,2.2398660674245683,3.2,8.5
08202,240015,5.0,5.88,2.07171426601257,3.0,8.4
08204,240015,1.0,0.0,,0.0,0.0
08205,240015,2.0,8.3,1.5556349186104046,7.2,9.4
08206,240015,1.0,6.6,,6.6,6.6
08207,240015,1.0,6.6,,6.6,6.6
08221,240015,1.0,2.0,,2.0,2.0
08230,240015,1.0,6.5,,6.5,6.5
08240,240015,9.0,5.888888888888888,1.601128074549663,3.7,9.0
08241,240015,2.0,6.199999999999998,0.14142135623730964,6.1,6.3
08242,240015,2.0,5.35,6.010407640085653,1.1,9.6
08243,240015,2.0,5.7,2.4041630560342617,4.0,7.4
08250,240015,1.0,8.2,,8.2,8.2
08260,240015,1.0,6.2,,6.2,6.2
08261,240015,2.0,7.5,0.141421356237309,7.4,7.6
08290,240015,7.0,6.299999999999999,2.0784609690826534,3.3,9.6
08291,240015,1.0,5.3,,5.3,5.3
08292,240015,2.0,6.85,1.0606601717798212,6.1,7.6
08301,240015,15.0,5.773333333333333,2.4329484366172043,0.5,9.1
08302,240015,31.0,5.758064516129032,2.2522247066028425,0.5,10.0
08303,240015,7.0,5.828571428571429,2.9397926716659715,1.9,8.7
08304,240015,7.0,4.485714285714286,3.114176494371383,0.3,9.2
08310,240015,2.0,8.3,0.0,8.3,8.3
08320,240015,11.0,7.145454545454546,2.2931915037186217,1.6,9.7
08328,240015,7.0,5.957142857142856,2.2269988346480583,1.4,7.7
08330,240015,8.0,6.3875,1.8961897885722605,3.8,8.6
08338,240015,10.0,5.41,1.9387567608593343,2.4,8.4
08339,240015,2.0,5.199999999999998,1.5556349186104046,4.1,6.3
08340,240015,14.0,7.607142857142858,2.354852366992392,1.9,10.0
08350,240015,9.0,6.200000000000001,2.8160255680657444,2.2,9.2
08360,240015,1.0,8.5,,8.5,8.5
08370,240015,17.0,6.01764705882353,2.5453966523210205,0.3,9.0
08380,240015,6.0,5.433333333333334,1.5305772331596557,3.4,7.7
08390,240015,10.0,5.95,2.557885411385307,1.9,10.0
08392,240015,5.0,6.14,2.1220273325289662,3.5,8.5
08397,240015,3.0,6.0,2.9816103031751147,2.8,8.7
08400,240015,8.0,3.9,2.610418685629896,0.0,6.8
08401,240015,15.0,4.6133333333333315,2.9736621641784846,0.0,8.4
08402,240015,1.0,7.1,,7.1,7.1
08430,240015,1.0,5.5,,5.5,5.5
08440,240015,13.0,4.1461538461538465,2.625393743363518,1.0,9.5
08460,240015,2.0,4.25,2.192031021678297,2.7,5.8
08470,240015,3.0,6.333333333333332,2.5890796305508523,3.4,8.3
08480,240015,1.0,6.2,,6.2,6.2
08500,240015,51.0,5.629411764705882,2.2764265081611623,0.6,9.9
08513,240015,1.0,10.0,,10.0,10.0
08520,240015,10.0,5.0299999999999985,2.6255369821132675,1.6,9.5
08530,240015,14.0,5.392857142857144,3.127659308053348,0.5,10.0
08540,240015,9.0,6.811111111111112,3.0648998533575464,0.9,9.0
08551,240015,2.0,4.1,5.65685424949238,0.1,8.1
08552,240015,1.0,5.6,,5.6,5.6
08560,240015,6.0,6.666666666666668,2.456555854579062,3.7,9.3
